электричка,э-лек-трич-ка,transport,elecrictrain.jpg
эмблема,эм-бле-ма,abstract,logo.jpg
эскимос,эс-ки-мос,people,eskimo.jpg
этикетка,э-ти-кет-ка,abstract,label.jpg
юбка,юб-ка,clothing,skirt.jpg
юла,ю-ла,toys,yula.jpg
юнга,юн-га,people,yunga.jpg
юпитер,ю-пи-тер,nature,jupiter.jpg
яблоко,яб-ло-ко,food,apple.jpg
язык,я-зык,body parts,tongue.jpg
яйцо,яй-цо,food,egg.jpg
якорь,я-корь,abstract,anchor.jpg
яма,я-ма,nature,hole.jpg
яхта,ях-та,transport,yacht.jpg
ящерица,я-ще-ри-ца,animals,lizzard.jpg
ящик,я-щик,house,case.jpg
